State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,FAQ,30-07-2024,? 800,"? 2,500","? 1,950",35
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,13-08-2024,"? 2,500","? 6,000","? 4,450",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,20-08-2024,"? 2,000","? 4,500","? 2,850",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,29-08-2024,"? 2,500","? 7,000","? 4,750",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,30-08-2024,"? 2,500","? 5,000","? 3,850",168
Gujarat,Ahmedabad,Ahmedabad,Drumstick,Other,FAQ,31-08-2024,"? 3,000","? 4,000","? 3,600",168
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,02-08-2024,"? 6,000","? 7,500","? 6,750",296
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,03-08-2024,"? 6,000","? 7,500","? 6,850",296
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,14-08-2024,"? 5,000","? 6,500","? 5,800",296
Gujarat,Ahmedabad,Ahmedabad,Elephant Yam (Suran),Other,FAQ,29-08-2024,"? 5,500","? 6,500","? 6,400",296
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,02-08-2024,? 600,"? 1,300",? 950,90
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,08-08-2024,"? 1,000","? 1,500","? 1,250",90
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,20-08-2024,"? 1,000","? 1,250","? 1,150",90
Gujarat,Ahmedabad,Ahmedabad,Banana - Green,Other,FAQ,22-08-2024,"? 1,000","? 1,750","? 1,250",90
Gujarat,Ahmedabad,Ahmedabad,Mango (Raw-Ripe),Other,FAQ,29-08-2024,"? 4,000","? 6,000","? 5,250",172
Gujarat,Ahmedabad,Ahmedabad,Peas Wet,Other,FAQ,16-08-2024,"? 8,000","? 11,000","? 10,500",174
Gujarat,Ahmedabad,Ahmedabad,Peas Wet,Other,FAQ,29-08-2024,"? 8,000","? 11,000","? 10,500",174
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,09-08-2024,"? 3,000","? 12,000","? 5,500",103
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,21-08-2024,"? 3,500","? 10,000","? 3,800",103
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),Other,FAQ,22-08-2024,"? 3,500","? 10,000","? 4,750",103
Gujarat,Ahmedabad,Ahmedabad,Cucumbar(Kheera),Other,FAQ,16-08-2024,"? 1,000","? 2,000","? 1,800",159
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,05-08-2024,"? 2,000","? 5,000","? 2,900",87
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,10-08-2024,"? 2,000","? 5,000","? 4,250",87
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,20-08-2024,"? 2,000","? 5,500","? 4,650",87
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,27-08-2024,"? 1,500","? 3,500","? 2,800",87
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,30-08-2024,"? 1,000","? 3,000","? 2,200",87
Gujarat,Ahmedabad,Ahmedabad,Green Chilli,Other,FAQ,31-08-2024,"? 1,000","? 2,500","? 2,000",87
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,09-08-2024,"? 3,000","? 4,500","? 4,300",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,14-08-2024,"? 2,000","? 4,000","? 3,500",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,30-08-2024,"? 2,000","? 4,200","? 3,800",164
Gujarat,Ahmedabad,Ahmedabad,Cucumbar(Kheera),Other,FAQ,08-08-2024,"? 1,000","? 4,000","? 3,650",159
Gujarat,Ahmedabad,Ahmedabad,Cucumbar(Kheera),Other,FAQ,29-08-2024,? 800,"? 2,200","? 1,850",159
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,06-08-2024,"? 3,000","? 6,000","? 5,100",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,17-08-2024,"? 3,500","? 5,500","? 4,500",164
Gujarat,Ahmedabad,Ahmedabad,Capsicum,Capsicum,FAQ,21-08-2024,"? 2,000","? 4,500","? 3,750",164
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,06-08-2024,"? 6,500","? 7,000","? 6,850",152
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,09-08-2024,"? 7,000","? 8,000","? 7,750",152
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,17-08-2024,"? 7,500","? 8,500","? 8,250",152
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,29-08-2024,"? 7,500","? 8,000","? 7,850",152
Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,FAQ,02-08-2024,"? 1,000","? 3,500","? 2,700",35
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,07-08-2024,"? 1,000","? 5,000","? 2,850",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,27-08-2024,? 500,"? 1,500","? 1,200",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,01-08-2024,? 500,"? 3,500","? 2,350",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,06-08-2024,"? 1,000","? 4,500","? 2,800",82
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,Other,FAQ,10-08-2024,"? 1,000","? 4,500","? 2,900",82
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,06-08-2024,? 800,"? 2,750","? 2,150",34
