Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
4000,3750.679630891529,3990.0820562879376,4185.5845,3666.58,3931.3554859181086,3982.25871707573
5750,5480.995045372399,5719.528002290386,5652.75,5027.7036,5644.641890777753,5613.971149796872
12625,11759.862653305216,12505.154782541036,11908.204,10692.8955,12184.149285757352,11987.62756423545
2225,2272.3299682688407,2221.0196718559214,2363.173,2392.1223,2271.467215087924,2299.8627073473817
1625,1596.1703471212245,1655.2517099567099,1830.8203,1859.0286,1642.684639504775,1676.4872930358408
6000,5623.699253236852,5264.786690986989,5291.2153,5374.182,5333.529195269344,5399.532127018869
2000,1954.062141648064,1991.922999717125,1672.6387,2050.1191,1950.2308272030782,1887.3707386445888
6000,5683.879681383945,5902.521838096973,5733.9106,5218.768,5849.744369258896,5781.382426360931
6175,5840.82190180373,5553.810006981184,6031.1455,5359.807,5878.153210175125,5918.912082014499
2100,2062.7384208731323,1946.3539884482989,1625.8167,2196.945,1945.7785847446198,1907.3874362386202
2500,2739.953522083403,2978.915738428238,2857.6533,2839.495,2890.1550503823755,2860.1554164473914
5605,5350.395037586588,5656.29586600409,5401.4165,4957.2007,5570.12036365791,5466.858731583848
1900,1950.1400325228828,1983.6272210265522,1967.0874,2173.7302,1967.4667362187224,1974.5734292715836
1000,1014.9043958665134,998.5445110445112,1040.0557,1314.908,986.7641320864155,998.2219521475778
7500,6957.487907430876,7251.309644660894,7007.1377,6437.655,6998.549151478477,6918.230320158953
3500,3150.0200276321752,3497.1691241180465,3486.9905,3193.8623,3397.216362475644,3399.3501749509946
3550,3283.561527983813,3543.031092796092,3116.8508,3308.0796,3413.082865543858,3327.6865230354706
2575,4030.541482575079,4045.135373015872,3472.4705,3835.1982,3988.601693313985,3797.4828651435855
7000,6543.8504180654245,6356.855849127521,6640.255,6143.296,6442.587323283974,6523.959805270748
2500,3032.0581999781352,2267.5049062049065,2629.8494,2951.1719,2513.6325732872156,2663.355554714001
5600,5858.112129759658,5881.612658730159,6267.133,5597.977,6138.037442874675,6105.280560081023
2385,2448.0043129318183,2549.3728148363466,2468.2249,2594.248,2516.5947874751428,2500.518294790871
3500,3374.4840550283066,3266.230539863474,3375.987,3348.5566,3314.420882617456,3359.556550507096
6755,6326.985135736639,6168.853475068525,6195.734,5831.9443,6307.422178018259,6326.668135283556
500,529.7459814173967,501.30555555555554,660.9392,954.19775,515.5499723418792,562.9128340651508
2800,2565.811340041151,2800.4293733587983,2491.1917,2600.0098,2716.6595759554552,2640.1527343930593
2580,2691.567411616181,2920.2585875402956,2699.1482,2816.08,2838.382338156963,2773.0019346402883
2255,2177.802946341434,2178.597413526016,2349.131,2346.227,2179.0365387022007,2230.9766017629495
3500,3539.8068219790107,4043.9424741924745,3497.0488,3493.0051,3716.0707427649295,3563.921577627248
350,187.63383783469362,386.5659090909092,393.86398,495.77173,334.172964440075,330.9063645471244
5050,5751.35133303325,5875.474554802581,5900.2197,5338.751,5884.571659183412,5874.70623600136
2000,4249.953329649972,3056.6267591885244,3501.0903,4052.0908,3387.3642232692455,3607.688166727806
2900,2560.54571414584,2901.11424963925,2646.6511,2649.2725,2798.025497976393,2720.482913005273
5500,4843.710535310854,4992.078039118658,4982.214,4543.5566,5070.796716168096,5006.376427103857
5500,5212.7671582925495,5471.651960981685,5368.5317,4830.969,5415.135990082623,5361.488930915689
800,976.9225514013851,995.1606530456303,972.13324,1256.6841,975.3227874560826,988.8368271685553
800,775.5504788087105,707.9413774123526,849.4237,1180.9489,743.1113317468236,781.7722459039875
1500,1579.3595863180371,1464.464250402119,1466.5137,1745.6233,1503.0603182284387,1501.3709815610848
400,534.4673833331744,402.8299603174603,612.8418,1110.4774,448.2889543394331,500.33685717357577
2150,2040.9088904701234,2091.0013850871355,2156.7053,2252.1108,2080.6465336867786,2096.173672205223
4505,4466.797990575921,4503.225,4825.6445,4164.021,4497.272207188436,4577.890662383835
2000,2507.1733068857047,1632.0897186147183,2339.2637,2562.123,2099.963864233243,2309.822073713894
1000,1185.6785451207788,1249.5987131053503,1065.7366,1415.488,1206.6669991787855,1181.1975650919594
14000,13098.432596887953,13471.823238732784,13243.214,11943.323,13281.917839817834,13217.490278818344
8500,7983.90015290193,8493.292290995365,8122.648,7284.4365,8256.896339890838,8127.301347903655
350,233.55968908645127,317.2301587301586,279.95236,502.69373,287.12727599844993,275.8062211412361
5000,4880.36273625331,5331.528016790232,5274.5654,4729.4175,5174.376524977357,5116.999884367157
1500,1626.2835614813844,1498.7534632034635,1504.3916,1833.6047,1505.8616554969158,1527.3455889520767
8875,8254.689715635188,8850.456052831269,8403.725,7697.9624,8551.513745004484,8448.39792948624
2000,2170.706357902519,1979.2440476190473,2418.3452,2296.56,2171.3323727218944,2221.8272446101773
2155,2053.1111102335844,2109.110808135752,2166.4556,2190.4922,2114.9451848053495,2114.6634318648807
5000,4847.046242109281,5005.206298523792,5176.0513,4490.9165,4992.431800004665,5006.987072174646
3500,4239.002395423964,3884.8707966106203,4097.6255,4101.407,3880.896476466804,4027.0764968312237
12000,11317.579462631973,11375.10377083346,11333.133,10360.949,11672.51331158503,11457.899798413046
650,746.4475931009629,659.2853583916085,651.7218,1229.5924,664.2814898116982,684.1179017563517
3500,3318.9912043000404,3289.6463744588746,3417.3804,3308.8013,3317.5110619608613,3323.596716791497
1750,1653.5744757359212,1766.7379322066822,1793.3606,1889.5419,1728.716908855973,1738.4327597286408
800,772.0910478548826,820.4187472733984,882.9862,1042.9102,788.0961552988513,819.08444642725
6500,6164.9229030491415,6652.560869446466,6264.872,5764.096,6478.776456158543,6372.5777172237895
500,396.3914427316281,545.8071428571429,597.91754,865.3359,497.70734562637506,522.0864953237818
5930,6518.664614417287,5504.088082417581,6261.4956,6000.2407,5912.516130268659,6177.236026810274
500,417.8269391676572,470.8953102453103,510.25812,857.8698,452.6767849614598,476.41595043813305
2000,1901.4038530953371,1948.3363535283765,1741.5034,2051.2952,1913.085289898188,1860.0849695630777
800,954.8308687462386,876.1484644676788,884.89233,1292.2817,884.6939269130335,908.4344802221145
2100,2366.963209372375,1646.9555239937154,1659.8982,2474.3394,1821.0097202604957,1911.4829435776555
4000,4011.008687559664,4001.25,3963.6724,3859.4062,3987.072680216138,3921.196353313684
