Month,Commodity,mean,count
8,Pegeon Pea (Arhar Fali),8435.19,27
8,Pointed gourd (Parval),3586.46,48
8,Potato,2093.52,27
8,Pumpkin,1011.85,27
8,Ridgeguard(Tori),3270.37,27
8,"Sesamum(Sesame,Gingelly,Til)",11350.0,5
8,Snakeguard,1799.07,27
8,Soyabean,3895.0,3
8,Sponge gourd,2782.41,27
8,Surat Beans (Papadi),8425.93,27
8,Sweet Potato,6907.41,27
8,Tomato,2346.15,26
8,Turmeric (raw),11453.7,27
8,Wheat,2500.0,2
8,Yam (Ratalu),9074.07,27
9,Ajwan,7400.0,1
9,Arhar (Tur/Red Gram)(Whole),7690.0,5
9,Bajra(Pearl Millet/Cumbu),2446.67,15
9,Banana - Green,1382.61,23
9,Beetroot,1820.65,23
9,Bengal Gram(Gram)(Whole),6515.62,16
9,Bhindi(Ladies Finger),2826.19,63
9,Bitter gourd,3210.87,23
9,Black Gram (Urd Beans)(Whole),7666.67,3
9,Bottle gourd,3882.61,23
9,Brinjal,3753.33,45
9,Cabbage,1422.83,23
9,Capsicum,4728.26,23
9,Carrot,1903.41,22
9,Cauliflower,3523.91,23
9,Chili Red,4365.0,1
9,Cluster beans,5918.48,23
9,Cotton,7465.74,34
9,Cowpea(Veg),8847.83,23
9,Cucumbar(Kheera),2454.55,22
9,Drumstick,5141.3,23
9,Elephant Yam (Suran),5729.35,23
9,French Beans (Frasbean),4023.91,23
9,Ginger(Green),4869.57,23
9,Green Chilli,3365.22,23
9,Green Gram (Moong)(Whole),5125.0,2
9,Groundnut pods (raw),3731.52,23
9,Indian Beans (Seam),5847.83,23
9,Jowar(Sorghum),2321.46,24
9,Kartali (Kantola),8934.78,23
9,Lemon,5500.0,23
9,Little gourd (Kundru),8380.43,23
9,Maize,2339.0,5
9,Mango (Raw-Ripe),12950.0,20
9,Onion,3534.78,23
9,Paddy(Dhan)(Common),2006.35,51
9,Papaya (Raw),1269.57,23
9,Peas cod,14521.74,23
9,Pegeon Pea (Arhar Fali),9076.09,23
9,Pointed gourd (Parval),4503.41,44
9,Potato,2153.7,23
9,Pumpkin,1265.22,23
9,Ridgeguard(Tori),3003.26,23
9,"Sesamum(Sesame,Gingelly,Til)",12505.56,9
9,Snakeguard,2159.78,23
9,Sponge gourd,2828.26,23
9,Surat Beans (Papadi),11086.96,23
9,Sweet Potato,5477.17,23
9,Tomato,2521.74,23
9,Turmeric (raw),10102.27,22
9,Wheat,2415.0,1
9,Yam (Ratalu),11000.0,23
10,Arhar (Tur/Red Gram)(Whole),6625.0,2
10,Bajra(Pearl Millet/Cumbu),2317.71,7
10,Banana - Green,1480.43,23
10,Beetroot,2900.0,22
10,Bengal Gram(Gram)(Whole),6562.5,16
10,Bhindi(Ladies Finger),2946.67,45
10,Bitter gourd,3197.83,23
10,Black Gram (Urd Beans)(Whole),6166.67,9
10,Bottle gourd,3815.22,23
10,Brinjal,3664.1,39
10,Cabbage,1789.13,23
10,Capsicum,5532.61,23
10,Carrot,2467.39,23
10,Cauliflower,3064.29,21
10,Cluster beans,6967.39,23
10,Cotton,7088.34,32
10,Cowpea(Veg),9510.87,23
10,Cucumbar(Kheera),1754.76,21
10,Drumstick,7659.09,22
10,Elephant Yam (Suran),5121.74,23
10,French Beans (Frasbean),5641.3,23
10,Ginger(Green),5928.26,23
10,Green Chilli,4055.43,23
10,Groundnut,4750.0,1
10,Groundnut pods (raw),4163.04,23
10,Indian Beans (Seam),4886.96,23
10,Jowar(Sorghum),2188.16,19
10,Kartali (Kantola),6833.33,15
10,Lemon,4076.09,23
10,Lentil (Masur)(Whole),6500.0,1
10,Little gourd (Kundru),8423.91,23
10,Maize,2083.7,30
10,Mango (Raw-Ripe),6789.13,23
10,Onion,3207.61,23
10,Paddy(Dhan)(Basmati),1880.0,3
10,Paddy(Dhan)(Common),1992.41,59
10,Papaya (Raw),991.3,23
10,Peas cod,11885.55,22
10,Pegeon Pea (Arhar Fali),6271.74,23
10,Pointed gourd (Parval),4442.39,46
10,Potato,2321.74,23
10,Pumpkin,1563.04,23
10,Ridgeguard(Tori),3097.83,23
10,"Sesamum(Sesame,Gingelly,Til)",12900.0,5
10,Snakeguard,1813.04,23
10,Soyabean,3805.96,26
10,Sponge gourd,2858.7,23
10,Surat Beans (Papadi),12184.78,23
10,Sweet Potato,3691.3,23
10,Tomato,4430.43,23
10,Turmeric (raw),7945.65,23
10,Yam (Ratalu),10652.17,23
11,Ajwan,6997.5,2
11,Arhar (Tur/Red Gram)(Whole),5500.0,1
11,Banana - Green,1464.13,23
11,Beetroot,3371.74,23
11,Bengal Gram(Gram)(Whole),6916.18,17
11,Bhindi(Ladies Finger),3485.34,58
11,Bitter gourd,3200.0,23
11,Black Gram (Urd Beans)(Whole),5111.11,9
11,Bottle gourd,3200.0,23
11,Brinjal,3796.05,38
11,Cabbage,2430.43,23
11,Capsicum,4315.22,23
11,Carrot,4184.78,23
11,Cauliflower,3845.65,23
11,Cluster beans,6158.7,23
11,Cotton,7015.47,47
11,Cowpea(Veg),6108.7,23
11,Cucumbar(Kheera),1510.87,23
11,Drumstick,11670.45,22
11,Elephant Yam (Suran),4395.65,23
11,French Beans (Frasbean),3186.96,23
11,Ginger(Green),4926.09,23
11,Green Chilli,3202.17,23
11,Groundnut,6854.55,11
11,Groundnut pods (raw),5175.0,10
11,Guar,6166.67,6
11,Indian Beans (Seam),4834.78,23
11,Jowar(Sorghum),2216.39,18
11,Kartali (Kantola),6125.0,2
11,Lemon,3475.0,23
11,Little gourd (Kundru),5338.04,23
11,Maize,2087.37,19
11,Mango (Raw-Ripe),5065.22,23
11,Onion,4052.17,23
11,Paddy(Dhan)(Common),2158.83,102
11,Papaya (Raw),1145.65,23
11,Peas cod,8438.64,22
11,Pegeon Pea (Arhar Fali),9175.0,23
11,Pointed gourd (Parval),3421.43,42
11,Potato,2301.09,23
11,Pumpkin,1671.74,23
11,Ridgeguard(Tori),3136.96,23
11,"Sesamum(Sesame,Gingelly,Til)",7500.0,2
11,Snakeguard,2352.17,23
11,Soyabean,3800.98,59
11,Sponge gourd,2343.48,23
11,Surat Beans (Papadi),16369.57,23
11,Sweet Potato,3086.96,23
11,Tomato,2096.74,23
11,Turmeric (raw),8021.74,23
11,Yam (Ratalu),9228.26,23
12,Ajwan,6900.0,1
12,Arhar (Tur/Red Gram)(Whole),6250.0,2
12,Bajra(Pearl Millet/Cumbu),2170.83,6
12,Banana - Green,1394.0,25
12,Beans,6000.0,1
12,Beetroot,3156.25,24
12,Bengal Gram(Gram)(Whole),6275.0,26
12,Bhindi(Ladies Finger),4415.06,78
12,Bitter gourd,4080.0,25
12,Black Gram (Urd Beans)(Whole),6031.25,24
12,Bottle gourd,2740.0,25
12,Brinjal,2475.58,43
12,Cabbage,1706.0,25
12,Capsicum,3470.0,25
12,Carrot,1791.0,25
12,Cauliflower,2892.0,25
12,Cluster beans,6700.0,25
12,Cotton,6945.3,40
12,Cowpea (Lobia/Karamani),2000.0,1
12,Cowpea(Veg),5300.0,25
12,Cucumbar(Kheera),2384.0,25
12,Drumstick,9590.0,25
12,Elephant Yam (Suran),4662.0,25
12,French Beans (Frasbean),3544.0,25
12,Ginger(Green),2598.0,25
12,Gram Raw(Chholia),5867.86,14
12,Green Chilli,3382.0,25
12,Green Gram (Moong)(Whole),6500.0,2
12,Groundnut,6670.0,25
12,Guar,7444.44,18
